"0.1mM NEAAs is the same as 1% NEAAs as in the 100X solution they're at 10mM, so taken bits from previous dictionary again",,,,,,,,,,,,
neaas,,,,,,,total contents of media,,,,,
Component,mg/L,g/L,reaction,lb,ub,,Component,mg/L,g/L,reaction,lb,ub
Glycine,7.5,0.0075,HMR_9067,-0.0075,1000,,L-Arginine·HCl,147.5,0.1475,HMR_9066,-0.1475,1000
Alanine,8.9,0.0089,HMR_9061,-0.0089,1000,,Alanine,13.35,0.01335,HMR_9061,-0.01335,1000
L-Asparagine-H2O,13.2,0.0132,HMR_9062,-0.0132,1000,,L-Asparagine-H2O,20.7,0.0207,HMR_9062,-0.0207,1000
Aspartate,13.3,0.0133,HMR_9070,-0.0133,1000,,Aspartate,19.95,0.01995,HMR_9070,-0.01995,1000
Glutamate,14.7,0.0147,HMR_9071,-0.0147,1000,,L-Cystine·2HCl,31.29,0.03129,HMR_9065,-0.03129,1000
L-Proline,11.5,0.0115,HMR_9068,-0.0115,1000,,L-Glutamine,365,0.365,HMR_9063,-0.365,1000
L-Serine,10.5,0.0105,HMR_9069,-0.0105,1000,,Glutamate,22.05,0.02205,HMR_9071,-0.02205,1000
DMEM:F12,,0,,0,,,Glycine,18.75,0.01875,HMR_9067,-0.01875,1000
Component,mg/L,g/L,reaction,lb,ub,,L-Histidine·HCl·H2O,31.48,0.03148,HMR_9038,-0.03148,1000
L-Arginine·HCl,147.5,0.1475,HMR_9066,-0.1475,1000,,L-Isoleucine,54.47,0.05447,HMR_9039,-0.05447,1000
Alanine,4.45,0.00445,HMR_9061,-0.00445,1000,,L-Leucine,59.05,0.05905,HMR_9040,-0.05905,1000
L-Asparagine-H2O,7.5,0.0075,HMR_9062,-0.0075,1000,,L-Lysine·HCl,91.25,0.09125,HMR_9041,-0.09125,1000
Aspartate,6.65,0.00665,HMR_9070,-0.00665,1000,,L-Methionine,17.24,0.01724,HMR_9042,-0.01724,1000
L-Cystine·2HCl,31.29,0.03129,HMR_9065,-0.03129,1000,,L-Phenylalanine,35.48,0.03548,HMR_9043,-0.03548,1000
L-Glutamine,365,0.365,HMR_9063,-0.365,1000,,L-Proline,28.75,0.02875,HMR_9068,-0.02875,1000
Glutamate,7.35,0.00735,HMR_9071,-0.00735,1000,,L-Serine,36.75,0.03675,HMR_9069,-0.03675,1000
Glycine,18.75,0.01875,HMR_9067,-0.01875,1000,,L-Threonine,53.45,0.05345,HMR_9044,-0.05345,1000
L-Histidine·HCl·H2O,31.48,0.03148,HMR_9038,-0.03148,1000,,L-Tryptophan,9.02,0.00902,HMR_9045,-0.00902,1000
L-Isoleucine,54.47,0.05447,HMR_9039,-0.05447,1000,,L-Tyrosine·2Na·2H2O,55.79,0.05579,HMR_9064,-0.05579,1000
L-Leucine,59.05,0.05905,HMR_9040,-0.05905,1000,,L-Valine,52.85,0.05285,HMR_9046,-0.05285,1000
L-Lysine·HCl,91.25,0.09125,HMR_9041,-0.09125,1000,,D-biotin,0.0035,0.0000035,HMR_9109,-0.0000035,1000
L-Methionine,17.24,0.01724,HMR_9042,-0.01724,1000,,Choline chloride,8.98,0.00898,HMR_9083,-0.00898,1000
L-Phenylalanine,35.48,0.03548,HMR_9043,-0.03548,1000,,Folic acid,2.65,0.00265,HMR_9146,-0.00265,1000
L-Proline,17.25,0.01725,HMR_9068,-0.01725,1000,,myo-Inositol,12.6,0.0126,HMR_9361,-0.0126,1000
L-Serine,26.25,0.02625,HMR_9069,-0.02625,1000,,Nicotinamide,2.02,0.00202,HMR_9378,-0.00202,1000
L-Threonine,53.45,0.05345,HMR_9044,-0.05345,1000,,D-Pantothenic acid,2.24,0.00224,HMR_9145,-0.00224,1000
L-Tryptophan,9.02,0.00902,HMR_9045,-0.00902,1000,,Pyridoxine(·HCl),2.013,0.002013,HMR_9144,-0.002013,1000
L-Tyrosine·2Na·2H2O,55.79,0.05579,HMR_9064,-0.05579,1000,,Riboflavin,0.219,0.000219,HMR_9143,-0.000219,1000
L-Valine,52.85,0.05285,HMR_9046,-0.05285,1000,,Thiamine·HCl,2.17,0.00217,HMR_9159,-0.00217,1000
D-biotin,0.0035,0.0000035,HMR_9109,-0.0000035,1000,,D-Glucose,3151,3.151,HMR_9034,-3.151,1000
Choline chloride,8.98,0.00898,HMR_9083,-0.00898,1000,,Hypoxanthine,2.39,0.00239,HMR_9358,-0.00239,1000
Folic acid,2.65,0.00265,HMR_9146,-0.00265,1000,,Linoleic acid,0.042,0.000042,HMR_9035,-0.000042,1000
myo-Inositol,12.6,0.0126,HMR_9361,-0.0126,1000,,Lipoic acid,0.105,0.000105,HMR_9167,-0.000105,1000
Nicotinamide,2.02,0.00202,HMR_9378,-0.00202,1000,,Putrescine,0.081,0.000081,EX_ptrc[e],-0.000081,1000
D-Pantothenic acid,2.24,0.00224,HMR_9145,-0.00224,1000,,Thymidine,0.365,0.000365,HMR_9423,-0.000365,1000
Pyridoxine(·HCl),2.013,0.002013,HMR_9144,-0.002013,1000,,,,,,,
Riboflavin,0.219,0.000219,HMR_9143,-0.000219,1000,,,,,,,
Thiamine·HCl,2.17,0.00217,HMR_9159,-0.00217,1000,,,,,,,
D-Glucose,3151,3.151,HMR_9034,-3.151,1000,,,,,,,
Hypoxanthine,2.39,0.00239,HMR_9358,-0.00239,1000,,,,,,,
Linoleic acid,0.042,0.000042,HMR_9035,-0.000042,1000,,,,,,,
Lipoic acid,0.105,0.000105,HMR_9167,-0.000105,1000,,,,,,,
Putrescine,0.081,0.000081,EX_ptrc[e],-0.000081,1000,,,,,,,
Thymidine,0.365,0.000365,HMR_9423,-0.000365,1000,,,,,,,